ID	name	health	defense	KO	exhaust	GRank
0	Village 3 The Desert Gourmand	1840	1	0.95	0.95	
1	Village 5 Trifecta of Terror	1360	1	1	1	
2	Village 5 A Sandy Battle Royale	1480	1	1	1	
3	Village 8 It's Gonna Eat Me!	3880	0.95	1.1	1.2	
4	Village 8 Just Deserts	2920	0.95	1.1	1.2	
5	Hub 2 The Desert Gourmand	2680	0.95	1.1	1.2	
6	Hub 5 The Desert Gourmand	4480	0.85	1.3	1.5	
7	Hub 5 Desert Brawlers	3400	0.85	1.3	1.5	
8	*Hub 6 Nibeling on Apples*	6040	0.8	1.3	1.75	
9	*Hub 7 The Foes of the Deep*	4480	0.85	1.3	1.6	
10	Hub G2 Share the Load (and the Reward)	8440	0.8	1.4	1.85	G
11	Hub G2 Trade Dispute	8440	0.8	1.4	1.85	G
12	Hub G3 Searing Sands	6279	0.8	1.5	1.9	G
13	*Hub G3 Eat in Pieces*	14400	0.75	2	2.5	G
14	*Hub 1 DLC Secret Nibelsnarf Hunt*	8800	0.8	1.5	1.9	
