ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Jurassic Treasure: The Bug	2090	1	0.95	0.95	
1	Village 4 Tumbling Troublemaker	2090	1	0.95	0.95	
2	Village 5 Great Knuckleballs o' Fire!	1634	1	1	1	
3	Village 5 Great Knuckleballs o' Fire!	1634	1	1	1	
4	Village 6 Volcano Triple Play	1862	1	1	1.05	
5	Village 6 Volcano Triple Play	1862	1	1	1.05	
6	Village 6 Advanced: Seeing Red	2888	0.9	1.3	1.5	
7	Village 8 I See It Rollin'...	3914	0.95	1.1	1.2	
8	Village 9 Desert Double Act	3230	0.95	1.3	1.3	
9	Village 9 Jurassic Frontier Fracas	3002	0.95	1.3	1.3	
10	Hub 2 Walk 'n Roll	2774	0.95	1.1	1.2	
11	Hub 2 Tongue-Tied	2774	0.95	1.1	1.2	
12	Hub 3 Rumble in the Volcano	2318	0.95	1	1.1	
13	Hub 5 Tumbling Troublemaker	4256	0.85	1.3	1.5	
14	Hub 5 Status: Effected	3458	0.85	1.3	1.5	
15	Hub 5 Hunt Sweat and Tears	3116	0.9	1.3	1.5	
16	Hub G2 The Legend of King Apple	8816	0.8	1.4	1.85	G
17	Hub G2 I See It Rollin'...	8816	0.8	1.4	1.85	G
18	Hub G2 The Next Stage of E-Volvi-lution	7106	0.8	1.4	1.85	G
19	Hub G3 Arena Bakalaka-Battle! Woo!	7676	0.8	1.5	1.9	G
20	Village 9 A Poison Paradise	3572	0.95	1.3	1.3	
21	Hub 7 The Ball's in Your Court	4712	0.85	1.3	1.6	
22	Hub DLC Jump: Crimson Strongmen	2090	0.95	1	1.05	
23	Hub 1 DLC CoroCoro: Rolling Bowlers	3800	0.85	1.3	1.6	
24	Hub 1 DLC CoroCoro: Rolling Bowlers	3800	0.85	1.3	1.6	
25	Hub 1 DLC Case Closed: Monster Files	2888	0.85	1.3	1.5	
26	Hub 1 DLC SF: Ultimate Entrace Exam	3002	0.85	1.3	1.6	
27	Hub 1 DLC Fan Club: Arena Action	2204	0.85	1.3	1.6	
28	Arena DLC Event: Slay a Volvidon	2888	0.85	1.15	1.5	
