ID	name	raw	affinity
0	Petrified Cannon Lv. 1	80	0
1	Petrified Cannon Lv. 2	90	0
2	Petrified Cannon Lv. 3	100	0
3	Petrified Cannon Lv. 4	110	0
4	Petrified Cannon Lv. 5	120	0
5	Petrified Cannon Lv. 6	160	0
6	Petrified Cannon Lv. 7	180	0
7	Scholarly Cannon Lv. 8	200	0
8	Scholarly Cannon Lv. 9	240	0
9	Scholarly Cannon Lv. 10	270	0
10	Sophos Cannon Lv. 11	320	0
11	Arbalest Lv. 1	90	0
12	Arbalest Lv. 2	100	0
13	Arbalest Lv. 3	110	0
14	Arbalest Lv. 4	120	0
15	Arbalest Lv. 5	130	0
16	Arbalest Lv. 6	140	0
17	Arbalest Lv. 7	170	0
18	Great Arbalest Lv. 8	190	0
19	Great Arbalest Lv. 9	220	0
20	Great Arbalest Lv. 10	250	0
21	Magnificent Arbalest Lv. 11	310	0
22	Bone Shooter Lv. 1	70	0
23	Bone Shooter Lv. 2	80	0
24	Bone Shooter Lv. 3	90	0
25	Bone Shooter Lv. 4	100	0
26	Bone Shooter Lv. 5	120	0
27	Bone Shooter Lv. 6	150	0
28	Bone Shooter Lv. 7	170	0
29	Bone Buster Lv. 8	180	0
30	Bone Buster Lv. 9	220	0
31	Bone Buster Lv. 10	250	0
32	Bone Blaster Lv. 11	310	0
33	Injector Cannon Lv. 1	100	0
34	Injector Cannon Lv. 2	110	0
35	Injector Cannon Lv. 3	130	0
36	Injector Cannon Lv. 4	170	0
37	Zect Injector Lv. 5	190	0
38	Zect Injector Lv. 6	230	0
39	Zect Injector Lv. 7	270	0
40	Trypanophobia Lv. 8	320	0
41	Sand Diver Lv. 1	90	0
42	Sand Diver Lv. 2	100	0
43	Sand Diver Lv. 3	120	0
44	Sand Diver Lv. 4	150	0
45	Sand Diver Lv. 5	180	0
46	Desert Diver Lv. 6	190	0
47	Desert Diver Lv. 7	230	0
48	Dune Diver Lv. 8	310	0
49	Anteka Burst Lv. 1	100	0
50	Anteka Burst Lv. 2	110	0
51	Anteka Burst Lv. 3	130	0
