ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Hammer Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Hammer Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Hammer Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Hammer Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Hammer Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Hammer Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Hammer Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Hammer Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Hammer Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Hammer Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Hammer Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Hammer Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Iron Hammer Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Hammer Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Hammer Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Hammer Lv. 5	120	(No Element)	0	0	Green	Green	Blue
16	Iron Hammer Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Iron Hammer Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Iron Devil Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Iron Devil Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Iron Devil Lv. 10	290	(No Element)	0	0	Blue	White	White
21	Iron Giant Lv. 11	350	(No Element)	0	0	Blue	White	White
22	Bone Hammer Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Hammer Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Hammer Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Hammer Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Hammer Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Bone Hammer Lv. 6	170	(No Element)	0	0	Green	Green	Green
28	Bone Hammer Lv. 7	210	(No Element)	0	0	Green	Green	Green
29	Hard Bone Hammer Lv. 8	240	(No Element)	0	0	Green	Green	Blue
30	Hard Bone Hammer Lv. 9	270	(No Element)	0	0	Blue	Blue	White
31	Hard Bone Hammer Lv. 10	320	(No Element)	0	0	Blue	Blue	White
32	Bone Crusher Lv. 11	350	(No Element)	0	0	Blue	White	Purple
33	Spiked Hammer Lv. 1	80	(No Element)	0	5	Green	Green	Green
34	Spiked Hammer Lv. 2	110	(No Element)	0	5	Green	Green	Green
35	Spiked Hammer Lv. 3	130	(No Element)	0	10	Green	Green	Green
36	Spiked Hammer Lv. 4	140	(No Element)	0	10	Green	Green	Green
37	Spiked Hammer Lv. 5	160	(No Element)	0	15	Green	Green	Blue
38	Spiked Hammer Lv. 6	190	(No Element)	0	15	Blue	White	White
39	Spiked Glory Lv. 7	220	(No Element)	0	15	Blue	White	White
40	Spiked Glory Lv. 8	260	(No Element)	0	20	Blue	White	White
41	Spiked Glory Lv. 9	300	(No Element)	0	20	Blue	White	White
42	Spiked Triumph Lv. 10	340	(No Element)	0	20	Blue	White	White
43	Bone Bludgeon Lv. 1	110	(No Element)	0	0	Yellow	Yellow	Yellow
44	Bone Bludgeon Lv. 2	120	(No Element)	0	0	Yellow	Yellow	Yellow
45	Bone Bludgeon Lv. 3	140	(No Element)	0	0	Yellow	Yellow	Yellow
46	Bone Bludgeon Lv. 4	160	(No Element)	0	0	Yellow	Yellow	Green
47	Bone Bludgeon Lv. 5	190	(No Element)	0	0	Green	Green	Green
48	Heavy Bone Bludgeon Lv. 6	230	(No Element)	0	0	Green	Green	Green
49	Heavy Bone Bludgeon Lv. 7	260	(No Element)	0	0	Green	Blue	Blue
50	Heavy Bone Bludgeon Lv. 8	290	(No Element)	0	0	Blue	Blue	Blue
51	Huge Bone Bludgeon Lv. 9	330	(No Element)	0	0	Blue	Blue	White
52	Revenge Hammer Lv. 1	90	(No Element)	0	0	Yellow	Yellow	Green
53	Revenge Hammer Lv. 2	100	(No Element)	0	0	Green	Green	Green
54	Revenge Hammer Lv. 3	130	(No Element)	0	0	Green	Green	Blue
55	Revenge Hammer Lv. 4	150	(No Element)	0	0	Blue	Blue	White
56	Vindication Hammer Lv. 5	190	(No Element)	0	0	Blue	White	White
57	Vindication Hammer Lv. 6	220	(No Element)	0	0	Blue	White	White
58	Vindication Hammer Lv. 7	260	(No Element)	0	0	Blue	White	White
59	Retribution Hammer Lv. 8	310	(No Element)	0	0	Blue	White	White
60	Ludroth Bone Mace Lv. 1	100	(No Element)	0	0	Yellow	Yellow	Yellow
61	Ludroth Bone Mace Lv. 2	120	(No Element)	0	0	Yellow	Yellow	Green
62	Ludroth Bone Mace Lv. 3	130	(No Element)	0	0	Green	Blue	Blue
63	Ludroth Bone Mace Lv. 4	150	(No Element)	0	0	Blue	Blue	White
64	Ludroth Bone Maul Lv. 5	190	(No Element)	0	0	Blue	White	White
65	Ludroth Bone Maul Lv. 6	220	(No Element)	0	0	Blue	White	White
66	Ludroth Bone Maul Lv. 7	250	(No Element)	0	0	White	White	White
67	Ludroth Sledgehammer Lv. 8	310	(No Element)	0	0	White	White	Purple
68	Feather Hammer Lv. 1	80	(No Element)	0	0	Green	Green	Green
69	Feather Hammer Lv. 2	110	(No Element)	0	0	Green	Green	Green
70	Feather Hammer Lv. 3	140	(No Element)	0	0	Green	Green	Green
71	Feather Hammer Lv. 4	170	(No Element)	0	0	Green	Blue	White
72	Plume Hammer Lv. 5	210	(No Element)	0	0	Blue	White	White
73	Plume Hammer Lv. 6	240	(No Element)	0	0	Blue	White	White
74	Plume Hammer Lv. 7	270	(No Element)	0	0	Blue	White	White
75	Crest Hammer Lv. 8	330	(No Element)	0	0	White	White	Purple
76	Bull Head Hammer Lv. 1	100	(No Element)	0	0	Yellow	Yellow	Yellow
77	Bull Head Hammer Lv. 2	110	(No Element)	0	0	Yellow	Yellow	Green
78	Bull Head Hammer Lv. 3	120	(No Element)	0	0	Green	Green	Green
79	Bull Head Hammer Lv. 4	150	(No Element)	0	0	Green	Green	Green
80	Bull Head Hammer Lv. 5	190	(No Element)	0	0	Green	Green	Blue
81	Bull Tusk Hammer Lv. 6	220	(No Element)	0	0	Blue	Blue	White
82	Bull Tusk Hammer Lv. 7	250	(No Element)	0	0	Blue	Blue	White
83	Bull Tusk Hammer Lv. 8	280	(No Element)	0	0	Blue	White	White
84	Wild Bull Crusher Lv. 9	340	(No Element)	0	0	Blue	White	White
85	Yukumo Mallet Lv. 1	70	(No Element)	0	0	Green	Green	Green
86	Yukumo Mallet Lv. 2	90	(No Element)	0	0	Green	Green	Green
87	Yukumo Mallet Lv. 3	120	(No Element)	0	0	Green	Green	Green
88	Yukumo Mallet Lv. 4	140	(No Element)	0	0	Green	Blue	Blue
89	Yukumo Impact Lv. 5	180	(No Element)	0	0	Green	Blue	Blue
90	Yukumo Impact Lv. 6	230	(No Element)	0	0	Green	Blue	Blue
91	Yukumo Impact Lv. 7	280	(No Element)	0	0	Green	Blue	Blue
92	Hot Spring Impact Lv. 8	340	(No Element)	0	0	Green	Blue	White
93	Rusted Hammer Lv. 1	100	(No Element)	0	-70	Orange	Orange	Orange
94	Rusted Hammer Lv. 2	100	(No Element)	0	-70	Orange	Orange	Yellow
95	Tarnished Hammer Lv. 3	100	(No Element)	0	-70	Yellow	Yellow	Yellow
96	War Hammer Lv. 1	100	(No Element)	0	0	Green	Green	Green
97	War Hammer Lv. 2	110	(No Element)	0	0	Green	Green	Green
98	War Hammer Lv. 3	130	(No Element)	0	0	Green	Green	Green
99	War Hammer Lv. 4	140	(No Element)	0	0	Green	Blue	Blue
100	War Hammer Lv. 5	180	(No Element)	0	0	Blue	Blue	White
101	War Mace Lv. 6	220	(No Element)	0	0	Blue	Blue	White
102	War Mace Lv. 7	250	(No Element)	0	0	Blue	White	White
103	War Mace Lv. 8	280	(No Element)	0	0	Blue	White	White
104	War Ender Lv. 9	340	(No Element)	0	0	White	White	White
105	Cyclo-Hammer Lv. 1	110	(No Element)	0	-5	Green	Green	Green
106	Cyclo-Hammer Lv. 2	120	(No Element)	0	-5	Green	Green	Green
107	Cyclo-Hammer Lv. 3	150	(No Element)	0	-5	Green	Green	Blue
108	Cyclo-Hammer Lv. 4	170	(No Element)	0	-10	Green	Blue	Blue
109	Cyclo-Hammer Lv. 5	190	(No Element)	0	-10	Blue	Blue	Blue
110	Cyclo-Hammer Lv. 6	210	(No Element)	0	-10	Blue	Blue	White
111	Atlas Hammer Lv. 7	230	(No Element)	0	-10	Blue	White	White
112	Atlas Hammer Lv. 8	320	(No Element)	0	-10	Blue	White	White
113	Atlas Crusher Lv. 9	350	(No Element)	0	-10	Blue	White	White
114	Frozen Core Lv. 1	80	Ice	20	0	Green	Green	Green
115	Frozen Core Lv. 2	90	Ice	25	0	Green	Green	Green
116	Frozen Core Lv. 3	120	Ice	30	0	Green	Green	Blue
117	Frozen Core Lv. 4	130	Ice	35	0	Blue	Blue	Blue
118	Cocytus Lv. 5	200	Ice	40	0	Blue	Blue	White
119	Cocytus Lv. 6	230	Ice	42	0	Blue	White	White
120	Pykrete Punisher Lv. 7	300	Ice	45	0	White	White	White
121	Great Nova Lv. 1	90	Thunder	24	0	Green	Green	Green
122	Great Nova Lv. 2	110	Thunder	28	0	Green	Green	Green
123	Great Nova Lv. 3	130	Thunder	32	0	Green	Green	Green
124	Great Nova Lv. 4	150	Thunder	36	0	Blue	Blue	White
125	Super Nova Lv. 5	190	Thunder	40	0	Blue	Blue	White
126	Super Nova Lv. 6	220	Thunder	40	0	Blue	Blue	White
127	Super Nova Lv. 7	250	Thunder	42	0	Blue	White	White
128	Hyper Nova Lv. 8	300	Thunder	45	0	White	White	Purple
129	Skullcrusher Lv. 1	130	(No Element)	0	0	Yellow	Yellow	Yellow
