ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	50	45	45	10	10	20	20	0	100	100
1	Torso	35	35	25	15	5	20	10	0	0	100
2	Shell (Glavenus)	20	30	15	15	0	20	10	0	0	100
3	Forelegs	25	25	25	15	5	15	10	0	0	100
4	Claws	20	20	10	10	5	20	10	0	0	100
5	Arms	25	35	25	15	5	15	10	0	0	100
6	Shell Flesh	35	40	30	10	5	20	10	0	0	100
7	Hind Legs	35	30	35	10	5	10	10	0	0	100
8	Shell Flesh (Broken)	50	55	40	10	10	20	15	0	0	100
9	Shell (Gravios)	30	30	20	0	15	20	10	0	0	100
10	Forelegs (Gravios)	30	30	30	10	5	10	10	0	0	100
11	Claws (Gravios)	45	45	35	10	5	20	10	0	0	100
12	Hind Legs (Gravios)	25	25	25	15	5	15	10	0	0	100
