ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	50	50	45	0	25	10	15	10	100	100
1	Neck / Stomach	25	40	20	0	10	5	10	5	0	100
2	Back	25	25	25	0	5	5	5	5	0	100
3	Tail	45	25	60	0	10	5	25	15	0	100
4	Forelegs	25	25	20	0	15	5	10	5	0	100
5	Hind Legs	45	45	30	0	10	5	15	5	0	100
6	Wings	20	20	10	0	5	5	5	5	0	100
7	Head (Enraged)	60	55	50	0	15	10	10	25	120	100
8	Neck / Stomach (Enraged)	30	45	25	0	10	5	5	10	0	100
9	Back (Enraged)	25	25	25	0	5	5	5	10	0	100
10	Tail (Enraged)	55	35	65	0	10	5	20	25	0	100
11	Forelegs (Enraged)	35	35	30	0	15	5	5	10	0	100
12	Hind Legs (Enraged)	55	55	35	0	5	5	15	10	0	100
13	Wings (Enraged)	20	20	10	0	5	5	5	10	0	100
