ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	55	60	45	25	25	25	25	0	100	100
1	Neck	40	30	40	25	25	25	25	0	0	100
2	Body	30	25	45	20	20	20	20	0	0	100
3	Wing Legs	30	30	60	15	15	15	15	0	0	100
4	Forelegs	25	24	25	25	25	25	25	0	0	100
5	Hind Legs	25	24	20	15	15	15	15	0	0	100
6	Wings	22	25	10	25	25	25	25	0	0	100
7	Tail	30	24	20	20	20	20	20	0	0	100
8	Head (Enraged)	55	60	45	0	0	0	0	0	110	100
9	Next (Enraged)	40	30	25	25	25	25	25	0	0	100
10	Body (Enraged)	30	25	25	20	20	20	20	0	0	100
11	Hind Legs (Enraged)	25	24	40	0	0	0	0	0	0	100
12	Wings (Enraged)	22	25	10	0	0	0	0	0	0	100
13	Tail (Enraged)	30	24	20	0	0	0	0	0	0	100
