ID	name	health	defense	KO	exhaust	GRank
0	Village 9 Capture the Agnaktor	4876	0.95	1.3	1.3	
1	Village 9 You Had One Job	3634	0.95	1.3	1.3	
2	Hub 6 Master of the Molten Deep	5980	0.85	1.3	1.6	
3	Hub 6 We Can Dig It	5980	0.85	1.3	1.6	
4	Hub 6 Firefight to the Finish!	4324	0.85	1.3	1.6	
5	Hub 7 The Flames of War	4324	0.85	1.3	1.6	
6	*Hub 7 The Glowing Embers*	7636	0.8	1.4	1.85	
7	Hub G4 Lavaclad Beast	10672	0.8	1.5	2	G
8	Hub G4 A Titanic Clash	8878	0.8	1.5	2	G
9	*Hub G4 Agnaktor's Deep*	20700	0.75	2	2.5	G
10	*Hub 1 DLC How It's Done*	8188	0.8	1.4	1.8	
11	Hub 1 DLC Overcome with Awe	5428	0.85	1.3	1.6	
12	Hub 1 DLC The Hammer and the Pike	5428	0.85	1.3	1.6	
