ID	name	health	defense	KO	exhaust	GRank
0	Village 9 Airship Upgrade: Barioth	4664	0.95	1.3	1.3	
1	Village 9 Once upon a Barioth	4664	0.95	1.3	1.3	
2	Village 10 Barioth's Blizzard	4004	0.95	1.3	1.4	
3	Village 10 Barioth's Blizzard	4004	0.95	1.3	1.4	
4	Village 10 Advanced: Quarrel Quelling	5720	0.8	1.3	1.75	
5	Hub 6 Barioth Hunt	5720	0.85	1.3	1.6	
6	Hub G3 The Lost Expedition	9812	0.8	1.5	1.9	G
7	Hub G3 I Hope It's Not Barioth Flavored	9812	0.8	1.5	1.9	G
8	*Hub G4 Setting the Barioth High*	16940	0.75	2	2.5	G
9	*Hub G4 Arctic Ridge Allegiances*	9020	0.75	2	2.5	G
10	Snowbaron G3: Hunt	8228	0.8	1.5	2	G
11	Grimclaw G5: Hunt	9020	0.75	1.7	2.3	G
12	Grudge Match: Barioth	3740	0.85	1.1	1.35	
13	Hub DLC "My Love is Like a Chill Wind...?"	9020	0.75	1.5	2.1	G
14	SP Demo NX Single player: Barioth Hunt	2948	1	0.95	0.95	
15	SP Demo NX Multiplayer: Barioth Hunt	5456	0.8	1.5	1.9	
