ID	name	health	defense	KO	exhaust	GRank
0	Village 7 Research Team's First Rodeo	3910	0.95	1	1.1	
1	Village 7 Eau de Congalala	4324	0.95	1	1.1	
2	Village 8 Marshlands Horror Story	3358	0.95	1.1	1.2	
3	Village 10 The Marshlands Morass	3772	0.95	1.3	1.4	
4	Hub 5 Pink Stink	5152	0.85	1.3	1.5	
5	Hub G2 Not Mushroom to Swing a Congalala	9706	0.8	1.4	1.85	G
6	Hub G2 Interruption: Conga Line	8050	0.8	1.4	1.85	G
7	Hub G2 Interruption: Conga Line	7497	0.8	1.4	1.85	G
8	*Hub G3 Trial by Fart*	16560	0.75	2	2.5	G
9	*Hub G4 Jungle Funk*	9430	0.75	2	2.5	G
10	Village 8 Congalala Headbreaker!	7912	0.9	1.3	1.5	
11	*Redhelm G3: Hunt*	8602	0.8	1.5	2	G
12	Grudge Match: Congalala	5980	0.85	1.15	1.5	
13	Arena Grudge Match: Congalala	5980	0.85	1.15	1.5	G
14	Hub DLC It'll Come Out in the Wash	8188	0.8	1.5	1.9	G
15	Hub DLC CoroCoro: Fart of Darkness	8740	0.8	1.4	1.85	G
