ID	name	health	defense	KO	exhaust	GRank
0	Hellblade I: Hunt	6935	0.85	1.3	1.6	
1	Hellblade II: Capture	6935	0.85	1.3	1.6	
2	Hellblade III: Hunt	5559	0.85	1.3	1.6	
3	Hellblade IV: Hunt	6018	0.85	1.3	1.6	
4	Hellblade V: Hunt	7395	0.8	1.3	1.75	
5	Hellblade VI: Hunt	6324	0.85	1.3	1.6	
6	Hellblade VII: Hunt	6324	0.85	1.3	1.6	
7	Hellblade VIII: Capture	7854	0.8	1.4	1.8	
8	Hellblade IX: Hunt	6783	0.85	1.4	1.65	
9	Hellblade X: Hunt	6783	0.85	1.4	1.65	
10	Hellblade G1: Capture	12444	0.75	1.5	2.1	G
11	Hellblade G2: Hunt	10914	0.75	1.6	2.2	G
12	Hellblade G2: Hunt	9231	0.75	1.5	2.1	G
13	Hellblade G3: Hunt	10149	0.75	1.6	2.2	G
14	Hellblade G4: Hunt	13515	0.75	1.7	2.3	G
15	Hellblade G5: Hunt	13260	0.75	2	2.5	G
16	Hellblade G5: Hunt	8466	0.75	1.7	2.3	G
17	Hellblade EX: Hunt	17850	0.7	3	3.75	G
18	Arena DLC XX Trials: Hunt-a-thon II	5100	0.85	1.1	1.35	G
