ID	name
0	Great Maccao
1	Velocidrome
2	Bulldrome
3	Seltas
4	Seltas Queen
5	Arzuros
6	Redhelm Arzuros
7	Giadrome
8	Gendrome
9	Cephadrome
10	Yian Kut-Ku
11	Iodrome
12	Kecha Wacha
13	Lagombi
14	Snowbaron Lagombi
15	Gypceros
16	Tetsucabra
17	Drilltusk Tetsucabra
18	Daimyo Hermitaur
19	Stonefist Hermitaur
20	Volvidon
21	Congalala
22	Royal Ludroth
23	Barroth
24	Basarios
25	Malfestio
26	Nightcloak Malfestio
27	Zamtrios
28	Khezu
29	Nerscylla
30	Rathian
31	Gold Rathian
32	Dreadqueen Rathian
33	Rathalos
34	Silver Rathalos
35	Dreadking Rathalos
36	Nibelsnarf
37	Plesioth
38	Blangonga
39	Lavasioth
40	Shogun Ceanataur
41	Rustrazor Ceanataur
42	Najarala
43	Nargacuga
44	Silverwind Nargacuga
45	Yian Garuga
46	Deadeye Yian Garuga
47	Uragaan
48	Crystalbeard Uragaan
49	Lagiacrus
50	Zinogre
51	Thunderlord Zinogre
52	Barioth
53	Mizutsune
54	Soulseer Mizutsune
55	Astalos
56	Boltreaver Astalos
57	Gammoth
58	Elderfrost Gammoth
59	Glavenus
60	Hellblade Glavenus
61	Agnaktor
62	Gore Magala
63	Chaotic Gore Magala
64	Seregios
65	Duramboros
66	Tigrex
67	Grimclaw Tigrex
68	Gravios
69	Diablos
70	Bloodbath Diablos
71	Kirin
72	Brachydios
73	Raging Brachydios
74	Shagaru Magala
75	Valstrax
76	Rajang
77	Furious Rajang
78	Deviljho
79	Savage Deviljho
80	Kushala Daora
81	Chameleos
82	Teostra
83	Lao-Shan Lung
84	Akantor
85	Ukanlos
86	Amatsu
87	Nakarkos
88	Empress's Throne
89	Ahtal Ka
90	Alatreon
91	Fatalis
92	Crimson Fatalis
93	Old Fatalis
