ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Najarala Hunt	2131	1	0.95	0.95	
1	Village 4 Serpentine Samba	2131	1	0.95	0.95	
2	Village 6 The Cankerous Quagmire	1870	1	1	1.05	
3	Village 8 Much Ado about Najarala	4219	0.95	1.1	1.2	
4	Village 8 The Perils of Commerce	4219	0.95	1.1	1.2	
5	Village 10 The Marshlands Morass	3567	0.95	1.3	1.4	
6	Hub 2 Najarala Hunt	2914	0.95	1.1	1.2	
7	Hub 2 Serpentine Samba	2914	0.95	1.1	1.2	
8	Hub 5 Serpentine Samba	4872	0.85	1.3	1.5	
9	Hub 6 Marshlands Rag	4088	0.85	1.3	1.6	
10	*Hub 6 Unnerving Najarala*	6568	0.8	1.3	1.75	
11	*Hub 7 Primal Forest Defense*	5263	0.85	1.3	1.6	
12	Hub G2 A Coil to Arms	9178	0.8	1.4	1.85	G
13	Hub G2 March Melancolico	9178	0.8	1.4	1.85	G
14	*Hub G3 ...Or Just Wait for It to Poop*	15660	0.75	2	2.5	G
15	Hub G4 Verdant Hills Missive	7612	0.8	1.5	2	G
16	*Hub G4 Arena Allegiances*	8917	0.75	2	2.5	G
17	Arena Grudge Match: Najarala	1740	0.95	1	1.15	
18	*Hub 1 DLC Capcom: Brilliant Orchestra*	9570	0.8	1.5	1.9	
19	Hub 1 DLC Overcome with Awe	5133	0.85	1.3	1.6	
