ID	name	health	defense	KO	exhaust	GRank
0	Village 5 Island Heat	2184	1	1	1	
1	Village 5 A King Robed in Smoke	2184	1	1	1	
2	Village 6 The Perilous Pair	1806	1	1	1.05	
3	Village 6 Advanced: Invoking Rath	2940	0.9	1.3	1.5	
4	Village 6 Advanced: The Goliaths	2940	0.9	1.3	1.5	
5	Village 6 Advanced: Seeing Red	2940	0.9	1.3	1.5	
6	Village 6 Advanced: Might is Right	2940	0.85	1.3	1.6	
7	Village 9 Rathalos Topping	4452	0.95	1.3	1.3	
8	Village 9 You're under a Rath	4200	0.95	1.3	1.3	
9	Village 10 Red Dragon, Green Dragon	3822	0.95	1.3	1.4	
10	Village 10 Verdant Hills Just for You	3444	0.95	1.3	1.4	
11	Village 10 Advanced: Ranging Rathalos	6593	0.8	1.4	1.8	
12	Village 10 Advanced: Monster Hunter!	5082	0.8	1.3	1.75	
13	*Village 10 Advanced: Mark of a Hero*	5838	0.8	1.4	1.8	
14	Hub 3 The King's Domain	3192	0.95	1.2	1.25	
15	Hub 3 Heaven and Earth	2310	0.95	1	1.1	
16	Hub 6 Rathalos Run	5460	0.85	1.3	1.6	
17	Hub 6 Heaven and Earth	3948	0.85	1.3	1.6	
18	Hub 6 Lord of the Skies	5460	0.85	1.3	1.6	
19	Hub 6 At the Slayground	3948	0.85	1.3	1.6	
20	Hub 7 The Flames of War	3948	0.85	1.3	1.6	
21	*Hub 7 A Fiery Temper*	6342	0.8	1.3	1.75	
22	*Hub 7 Wyverns All Around Us*	4704	0.85	1.3	1.6	
23	*Hub 7 Show Me Your Shaka-Strength*	4704	0.85	1.3	1.6	
24	*Hub 7 The Winged Wyverns*	4704	0.85	1.3	1.6	
25	Hub G3 Predator in the Hills	7224	0.8	1.5	1.9	G
26	Hub G3 'Kiken' Means 'Danger'!	9366	0.8	1.5	1.9	G
27	Hub G3 Heavenly Fire, Earthly Flame	7224	0.8	1.5	1.9	G
28	Hub G4 Jurassic Skulduggery	7350	0.8	1.5	2	G
29	*Hub G4 Let's Get Igneous*	14910	0.75	2	2.5	G
30	*Hub G4 R.I.P.*	11130	0.75	2	2.5	G
31	Dreadqueen V: Hunt	4200	0.85	1.3	1.6	
32	Arena Grudge Match: Rathalos	2058	0.95	1	1.15	
33	Hub 1 DLC Ghosts 'n Goblins: Seeing Red	8736	0.8	1.5	2	
34	Hub 1 DLC Felyne Village: The Tourney	4200	0.85	1.3	1.6	
35	Hub 1 DLC The Greatest Hunter	5334	0.85	1.3	1.6	
36	Hub 1 DLC Catch a Rathalos by the Tail	6720	0.85	1.3	1.6	
37	*Hub DLC Monster Hunter Channel I*	7224	0.75	1.6	2.2	G
38	Arena DLC Event: Slay a Rathalos	3570	0.85	1.15	1.5	
39	Arena DLC XX Trials: Rathalos	3570	0.85	1.15	1.5	
