ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Wrath of the Rathian	2205	1	0.95	0.95	
1	Village 6 The Perilous Pair	1935	1	1	1.05	
2	Village 6 Night Terrors	1935	1	1	1.05	
3	Village 6 Advanced: Invoking Rath	3150	0.9	1.3	1.5	
4	Village 8 Grapes of Rathian	4365	0.95	1.1	1.2	
5	Village 8 A Royal Rumble	4365	0.95	1.1	1.2	
6	Village 10 Red Dragon, Green Dragon	4095	0.95	1.3	1.4	
7	Village 10 Lord's Request Coalition of Chaos	3690	0.95	1.3	1.4	
8	Hub 2 Royal Assassination	3015	0.95	1.1	1.2	
9	Hub 3 Heaven and Earth	2475	0.95	1	1.1	
10	Hub 5 Dragon Lady	5040	0.85	1.3	1.5	
11	Hub 5 Wrath of the Rathian	5040	0.85	1.3	1.5	
12	Hub 5 Desert Brawlers	3825	0.85	1.3	1.5	
13	Hub 6 Heaven and Earth	4230	0.85	1.3	1.6	
14	Hub 6 Dances with Wyverns	4230	0.85	1.3	1.6	
15	*Hub 6 We Are Not Amused*	6795	0.8	1.3	1.75	
16	Hub 7 A Gathering of Wyverns	4500	0.85	1.3	1.6	
17	*Hub 7 Wyverns All Around Us*	5445	0.85	1.3	1.6	
18	*Hub 7 The Descending Fog*	5445	0.85	1.3	1.6	
19	Hub G2 Queen of the Ruined Pinnacle	9495	0.8	1.4	1.85	G
20	Hub G2 Sky Tribe: Savior of the Skyway	9495	0.8	1.4	1.85	G
21	Hub G2 Royal Assassination	9495	0.8	1.4	1.85	G
22	Hub G3 PR Disaster	7740	0.8	1.5	1.9	G
23	Hub G3 Predator in the Hills	8280	0.8	1.5	1.9	G
24	Hub G3 Frontier Fisticuffs	7064	0.8	1.5	1.9	G
25	*Hub G3 The Pinnacle of Terror*	16200	0.75	2	2.5	G
26	Hub G4 Verdant Hills Missive	7875	0.8	1.5	2	G
27	*Hub G4 R.I.P.*	13050	0.75	2	2.5	G
28	Dreadqueen X: Hunt	5310	0.85	1.3	1.6	
29	Dreadqueen X: Hunt	5715	0.85	1.3	1.6	
30	Dreadking III: Hunt	4500	0.85	1.3	1.6	
31	Hub 1 DLC Yowamushi Pedal: Princess	3825	0.85	1.3	1.5	
32	Hub 1 DLC Making the Cut	6525	0.85	1.3	1.5	
