ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Royal Spit Take	1840	1	0.95	0.95	
1	Village 3 Current Events	1840	1	0.95	0.95	
2	Village 4 Royal Pains	1360	1	0.95	0.95	
3	Village 4 Royal Pains	1360	1	0.95	0.95	
4	Village 6 Drawing the Waterline	1720	1	1	1.05	
5	Village 6 Drawing the Waterline	1720	1	1	1.05	
6	Village 7 Taking Royal Liberties	3760	0.95	1	1.1	
7	Village 10 Misty Peaks Missive	3280	0.95	1.3	1.4	
8	Hub 1 Royal Spit Take	2440	0.95	1.1	1.15	
9	Hub 2 Ahoy! Royal Ludroth!	1960	0.95	1	1.05	
10	Hub 2 Ahoy! Royal Ludroth!	1960	0.95	1	1.05	
11	Hub 4 Royal Spit Take	4360	0.9	1.3	1.5	
12	*Hub 6 Where the Wild Manes Are*	6640	0.8	1.3	1.75	
13	Hub 7 The Hunter Games	3760	0.85	1.3	1.6	
14	*Hub 7 Searching for Secret Baths*	4840	0.85	1.3	1.6	
15	Hub G1 Sweetheart's Pick: Lofty Ludroth	7600	0.8	1.4	1.8	G
16	Hub G1 Water Fight	6279	0.8	1.4	1.8	G
17	Hub G1 Water Fight	5800	0.8	1.4	1.8	G
18	*Hub G2 The Hype is Royal*	15000	0.75	1.6	2.2	G
19	Hub G4 Quest of Friendship	7000	0.8	1.5	2	G
20	Hub G2 Royal Ludroth Manebreaker	12000	0.7	1.5	2	G
21	*Hub 1 DLC Mega Man: Yellow Devil*	8800	0.8	1.5	1.9	
22	*Hub 1 DLC Retreat Run-in*	7120	0.8	1.4	1.8	
23	Arena DLC Event: Slay a Royal Ludroth	4000	0.85	1.15	1.5	
