ID	name	health	defense	KO	exhaust	GRank
0	Thunderlord I: Hunt	7887	0.85	1.3	1.6	
1	Thunderlord II: Capture	7887	0.85	1.3	1.6	
2	Thunderlord III: Hunt	7887	0.85	1.3	1.6	
3	Thunderlord IV: Hunt	6844	0.85	1.3	1.6	
4	Thunderlord V: Hunt	8410	0.8	1.3	1.75	
5	Thunderlord VI: Hunt	7192	0.85	1.3	1.6	
6	Thunderlord VII: Hunt	7192	0.85	1.3	1.6	
7	Thunderlord VIII: Capture	8932	0.8	1.4	1.8	
8	Thunderlord IX: Hunt	7714	0.85	1.4	1.65	
9	Thunderlord X: Hunt	7714	0.85	1.4	1.65	
10	Thunderlord G1: Capture	13455	0.8	1.5	2	G
11	Thunderlord G2: Hunt	14152	0.75	1.5	2.1	G
12	Thunderlord G3: Hunt	9976	0.8	1.5	2	G
13	Thunderlord G3: Hunt	11889	0.75	1.5	2.1	G
14	Thunderlord G4: Hunt	13107	0.75	1.7	2.3	G
15	Thunderlord G5: Hunt	14500	0.75	2	2.5	G
16	Thunderlord EX: Hunt	24650	0.7	3.4	4.25	G
17	Boltreaver G5: Hunt	9280	0.75	1.7	2.3	G
18	Arena DLC XX Trials: Thunderlord	7540	0.85	1.15	1.5	G
