ID	name	health	defense	KO	exhaust	GRank
0	Village 5 Fight or Uragaan!	2236	1	1	1	
1	Village 6 Volcano Triple Play	1849	1	1	1.05	
2	Village 8 A Cure for Laziness	4041	0.95	1.1	1.2	
3	Village 8 It's Not Uragaan's, It's Mine!	4171	0.95	1.1	1.2	
4	Hub 3 Fight or Uragaan!	3268	0.95	1.2	1.25	
5	Hub 5 Fight or Uragaan!	4816	0.85	1.3	1.5	
6	Hub 5 The Hunter Games	3655	0.85	1.3	1.5	
7	*Hub 6 Eruption Embodied*	6493	0.8	1.3	1.75	
8	Hub 7 Hammer vs. Blade	4300	0.85	1.3	1.6	
9	Hub 7 The Flames of War	4041	0.85	1.3	1.6	
10	*Hub 7 The Beasts of Brawn*	4816	0.85	1.3	1.6	
11	Hub G3 Uragaan Grief	9589	0.8	1.5	1.9	G
12	*Hub G4 What's Mine is Mine*	13545	0.75	2	2.5	G
13	Hub 7 Uragaan Shellbreaker	8686	0.85	1.3	1.6	
14	Crystalbeard IV: Hunt	4300	0.85	1.3	1.6	
15	Arena Grudge Match: Uragaan	5074	0.85	1.1	1.8	
16	Hub DLC A Season for Lava	2365	0.95	1	1.1	
17	Hub 1 DLC CoroCoro: Rolling Bowlers	4041	0.85	1.3	1.6	
18	Hub 1 DLC The Hammer and the Pike	5074	0.85	1.3	1.6	
