ID	name	health	defense	KO	exhaust	GRank
0	Village 2 Hunt Down the Velocidrome!	860	1	0.95	0.95	
1	Village 4 Hunt-a-thon: Velocidrome	620	1	0.95	0.95	
2	Village 6 Night Terrors	980	1	1	1.05	
3	Village 10 Verdant Hills Just for You	1940	0.95	1.3	1.4	
4	Hub 1 Hunt Down the Velocidrome!	1340	0.95	1.1	1.15	
5	Hub 2 Finishing the Job	1100	0.95	1	1.05	
6	Hub 2 Finishing the Job	1100	0.95	1	1.05	
7	Hub 4 Hunt Down the Velocidrome!	2300	0.9	1.3	1.5	
8	Hub 4 A Powerful Team	1520	0.95	1.2	1.25	
9	Hub 5 Twin Velocidrome	1820	0.85	1.3	1.5	
10	Hub 5 Twin Velocidrome	1820	0.85	1.3	1.5	
11	Hub G2 Minion's Devotion	3860	0.8	1.4	1.85	G
12	Village 6 Surrounded by Blue and Green	1340	1	0.95	0.95	
13	Village 7 Dashing Velocidrome	2000	0.95	1	1.1	
14	Village 10 Drome Rush!	1760	0.95	1.3	1.3	
15	Hub 1 DLC Fan Club: Great All Stars	2120	0.85	1.3	1.6	
16	Arena Event: Hunt-a-thon 5	1640	0.85	1.15	1.5	
