ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Stomping Grounds	1748	1	0.95	0.95	
1	Village 3 Local Threat	1748	1	0.95	0.95	
2	Village 4 Hunt-a-thon: Yian Kut-Ku	1178	1	0.95	0.95	
3	Village 5 A Late Jurassic Excursion	1634	1	1	1	
4	Village 7 Kut-Ku Misunderstood	3572	0.95	1	1.1	
5	Village 7 Verdant Hills Horror	2660	0.95	1	1.1	
6	Village 10 Verdant Hills Just for You	3116	0.95	1.3	1.4	
7	Hub 1 Local Threat	2318	0.95	1.1	1.15	
8	Hub 4 Ruining the Ruins	4142	0.9	1.3	1.5	
9	Hub 4 Birds of a Feather	3116	0.9	1.3	1.5	
10	Hub 4 Delicious White Livers	3344	0.9	1.3	1.5	
11	Hub 4 Delicious White Livers	3344	0.9	1.3	1.5	
12	Hub 6 Dances with Wyverns	3572	0.85	1.3	1.6	
13	*Hub 6 Hyper Investigation*	6308	0.8	1.3	1.75	
14	*Hub 6 Minion Audition Imposition*	4598	0.85	1.3	1.6	
15	*Hub 7 The Descending Fog*	4598	0.85	1.3	1.6	
16	*Hub 7 The Birds of Prey*	4598	0.85	1.3	1.6	
17	Hub G1 Pecking Order	8132	0.8	1.4	1.8	G
18	Hub G1 The Bird Who Wood Be King	8132	0.8	1.4	1.8	G
19	*Hub G2 Revenge from the Skies*	12920	0.75	1.6	2.2	G
20	Village 5 Kut-Ku Earbreaker	4940	1	1	1	
21	Hub 1 DLC Felyne Village: The Tourney	3800	0.85	1.3	1.6	
22	Arena DLC Event: Slay a Yian Kut-Ku	4712	0.85	1.15	1.5	
23	Arena DLC Event: Hunt-a-thon 5	2888	0.85	1.15	1.5	
