ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Strongarm Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Strongarm Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Strongarm Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Strongarm Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Strongarm Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Strongarm Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Strongarm Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Strongarm Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Strongarm Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Strongarm Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Strongarm Lv. 11	320	(No Element)	0	0	White	White	White
11	Elite Blade Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Elite Blade Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Elite Blade Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Elite Blade Lv. 4	120	(No Element)	0	0	Green	Green	Blue
15	Elite Blade Lv. 5	130	(No Element)	0	0	Green	Green	Blue
16	Elite Blade Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Elite Blade Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Kaiser Blade Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Kaiser Blade Lv. 9	250	(No Element)	0	0	Blue	White	White
20	Kaiser Blade Lv. 10	310	(No Element)	0	0	Blue	White	White
21	Kaiser Kommandant Lv. 11	340	(No Element)	0	0	White	White	White
22	Bone Blade Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Blade Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Blade Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Blade Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Blade Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Bone Blade Lv. 6	170	(No Element)	0	0	Green	Green	Green
28	Bone Blade Lv. 7	210	(No Element)	0	0	Green	Green	Green
29	Bonesilt Veil Lv. 8	240	(No Element)	0	0	Green	Green	Blue
30	Bonesilt Veil Lv. 9	270	(No Element)	0	0	Blue	Blue	White
31	Bonesilt Veil Lv. 10	320	(No Element)	0	0	Blue	Blue	White
32	Bonebreaker Veil Lv. 11	350	(No Element)	0	0	Blue	White	Purple
33	Rogue Axe Lv. 1	80	(No Element)	0	0	Green	Green	Green
34	Rogue Axe Lv. 2	90	(No Element)	0	0	Green	Green	Green
35	Rogue Axe Lv. 3	100	(No Element)	0	0	Green	Green	Green
36	Rogue Axe Lv. 4	130	(No Element)	0	0	Green	Green	Green
37	Rogue Axe Lv. 5	150	(No Element)	0	0	Green	Green	Green
38	Rogue Axe Lv. 6	190	(No Element)	0	0	Blue	Blue	Blue
39	Dashing Rogue Lv. 7	210	(No Element)	0	0	Blue	Blue	White
40	Dashing Rogue Lv. 8	240	(No Element)	0	0	Blue	White	White
41	Dashing Rogue Lv. 9	270	(No Element)	0	0	White	White	White
42	Dashing Bandit Lv. 10	330	(No Element)	0	0	White	White	Purple
43	Snowy Veil Lv. 1	80	Ice	14	0	Yellow	Green	Green
44	Snowy Veil Lv. 2	100	Ice	16	0	Green	Green	Green
45	Snowy Veil Lv. 3	130	Ice	18	0	Green	Green	Green
46	Snowy Veil Lv. 4	150	Ice	20	0	Green	Green	Blue
47	Snowy Veil Lv. 5	170	Ice	22	0	Blue	Blue	White
48	Frosted Veil Lv. 6	210	Ice	24	0	Blue	Blue	White
49	Frosted Veil Lv. 7	240	Ice	26	0	Blue	Blue	White
50	Pure Veil Lv. 8	330	Ice	29	0	White	Purple	Purple
51	Desertfall Lv. 1	80	Para	8	0	Green	Green	Green
52	Desertfall Lv. 2	100	Para	10	0	Green	Green	Green
53	Desertfall Lv. 3	120	Para	11	0	Green	Green	Blue
54	Desertfall Lv. 4	140	Para	12	0	Green	Green	Blue
55	Desertfall Lv. 5	160	Para	14	0	Green	Blue	Blue
56	Desert Sidefin Lv. 6	180	Para	15	0	Blue	Blue	Blue
57	Desert Sidefin Lv. 7	210	Para	17	0	Blue	Blue	White
58	Desert Sidefin Lv. 8	240	Para	19	0	Blue	White	White
59	Desert Death Lv. 9	290	Para	22	0	Blue	White	White
60	Blackguard Lv. 1	100	(No Element)	0	0	Green	Green	Green
61	Blackguard Lv. 2	120	(No Element)	0	0	Green	Green	Blue
62	Blackguard Lv. 3	130	(No Element)	0	0	Green	Blue	Blue
63	Blackguard Lv. 4	140	(No Element)	0	0	Blue	Blue	White
64	Blackguard Lv. 5	160	(No Element)	0	0	Blue	Blue	White
65	Full Blackguard Lv. 6	200	(No Element)	0	0	Blue	White	White
66	Full Blackguard Lv. 7	250	(No Element)	0	0	Blue	White	Purple
67	Schwarzschild Lv. 8	310	(No Element)	0	0	White	Purple	Purple
68	Poison Blade Lv. 1	90	Poison	12	0	Green	Green	Green
69	Poison Blade Lv. 2	100	Poison	16	0	Green	Green	Green
70	Poison Blade Lv. 3	120	Poison	20	0	Green	Green	Blue
71	Poison Blade Lv. 4	140	Poison	24	0	Blue	Blue	Blue
72	Poison Blade Lv. 5	160	Poison	26	0	Blue	Blue	Blue
73	Venom's Kiss Lv. 6	190	Poison	28	0	Blue	Blue	White
74	Venom's Kiss Lv. 7	210	Poison	30	0	Blue	White	White
75	Venom's Kiss Lv. 8	240	Poison	32	0	White	White	White
76	Hell Venom Blade Lv. 9	300	Poison	35	0	White	White	Purple
77	Horror Zofar Lv. 1	90	Sleep	8	0	Green	Green	Green
78	Horror Zofar Lv. 2	110	Sleep	10	0	Green	Green	Green
79	Horror Zofar Lv. 3	120	Sleep	11	0	Green	Green	Blue
80	Horror Zofar Lv. 4	140	Sleep	12	0	Blue	Blue	Blue
81	Horror Zofar Lv. 5	160	Sleep	14	0	Blue	Blue	White
82	Dormant Wings Lv. 6	180	Sleep	15	0	Blue	Blue	White
83	Dormant Wings Lv. 7	240	Sleep	17	0	White	White	White
84	Dormant Wings Lv. 8	270	Sleep	19	0	White	White	White
85	Zofar Wings Lv. 9	310	Sleep	22	0	White	Purple	Purple
86	Type 31 Wyvernslayer Lv. 1	90	Water	10	0	Green	Green	Green
