ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Gunlance Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Gunlance Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Gunlance Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Gunlance Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Gunlance Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Gunlance Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Gunlance Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Gunlance Lv. 8	210	(No Element)	0	0	Blue	Blue	Blue
8	Scholarly Gunlance Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Gunlance Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Gunlance Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Gunlance Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Iron Gunlance Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Gunlance Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Gunlance Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Gunlance Lv. 5	120	(No Element)	0	0	Green	Green	Green
16	Iron Gunlance Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Iron Gunlance Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Eizenlitter Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Eizenlitter Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Eizenlitter Lv. 10	330	(No Element)	0	0	Blue	White	White
21	Sol Bite Burst Lv. 11	360	(No Element)	0	0	Blue	White	White
22	Bone Gunlance Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Gunlance Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Gunlance Lv. 3	110	(No Element)	0	0	Yellow	Green	Green
25	Bone Gunlance Lv. 4	120	(No Element)	0	0	Green	Green	Green
