ID	name	raw	element	eleValue	elementTwo	eleValueTwo	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Axe Lv. 1	60	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Axe Lv. 2	80	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Axe Lv. 3	90	(No Element)	0	(No Element)	0	0	Yellow	Green	Green
3	Petrified Axe Lv. 4	100	(No Element)	0	(No Element)	0	0	Green	Green	Green
4	Petrified Axe Lv. 5	110	(No Element)	0	(No Element)	0	0	Green	Green	Green
5	Petrified Axe Lv. 6	140	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
6	Petrified Axe Lv. 7	170	(No Element)	0	(No Element)	0	0	Blue	Blue	White
7	Scholarly Axe Lv. 8	210	(No Element)	0	(No Element)	0	0	Blue	Blue	White
8	Scholarly Axe Lv. 9	240	(No Element)	0	(No Element)	0	0	Blue	Blue	White
9	Scholarly Axe Lv. 10	290	(No Element)	0	(No Element)	0	0	White	White	White
10	Sophos Axe Lv. 11	320	(No Element)	0	(No Element)	0	0	White	White	White
11	Iron Axe Lv. 1	70	(No Element)	0	SA - Para	10	0	Yellow	Yellow	Green
12	Iron Axe Lv. 2	80	(No Element)	0	SA - Para	11	0	Green	Green	Green
13	Iron Axe Lv. 3	100	(No Element)	0	SA - Para	12	0	Green	Green	Green
14	Iron Axe Lv. 4	110	(No Element)	0	SA - Para	13	0	Green	Green	Green
15	Iron Axe Lv. 5	120	(No Element)	0	SA - Para	14	0	Green	Green	Blue
16	Iron Axe Lv. 6	150	(No Element)	0	SA - Para	15	0	Green	Green	Blue
17	Iron Axe Lv. 7	180	(No Element)	0	SA - Para	16	0	Green	Blue	Blue
18	Araxxis Lv. 8	230	(No Element)	0	SA - Para	18	0	Green	Blue	Blue
19	Araxxis Lv. 9	260	(No Element)	0	SA - Para	20	0	Blue	Blue	White
20	Araxxis Lv. 10	310	(No Element)	0	SA - Para	22	0	Blue	White	White
21	Alter Araxxis Lv. 11	340	(No Element)	0	SA - Para	25	0	Blue	White	White
22	Bone Axe Lv. 1	80	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Axe Lv. 2	100	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Axe Lv. 3	110	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Axe Lv. 4	130	(No Element)	0	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Axe Lv. 5	140	(No Element)	0	(No Element)	0	0	Green	Green	Green
27	Bone Axe Lv. 6	170	(No Element)	0	(No Element)	0	0	Green	Green	Green
28	Bone Axe Lv. 7	210	(No Element)	0	(No Element)	0	0	Green	Green	Green
29	Daidalos Axe Lv. 8	240	(No Element)	0	(No Element)	0	0	Green	Green	Blue
30	Daidalos Axe Lv. 9	270	(No Element)	0	(No Element)	0	0	Blue	Blue	White
31	Daidalos Axe Lv. 10	320	(No Element)	0	(No Element)	0	0	Blue	Blue	White
32	Ikaros Axe Lv. 11	350	(No Element)	0	(No Element)	0	0	Blue	White	Purple
33	Exoskeleton Axe Lv. 1	70	Para	15	(No Element)	0	0	Green	Green	Green
34	Exoskeleton Axe Lv. 2	80	Para	16	(No Element)	0	0	Green	Green	Green
35	Exoskeleton Axe Lv. 3	90	Para	18	(No Element)	0	0	Green	Green	Green
36	Exoskeleton Axe Lv. 4	120	Para	20	(No Element)	0	0	Blue	Blue	White
37	Exoskeleton Chopper Lv. 5	150	Para	22	(No Element)	0	0	White	White	White
38	Exoskeleton Chopper Lv. 6	180	Para	24	(No Element)	0	0	White	White	Purple
39	Exoskeleton Hacker Lv. 7	260	Para	26	(No Element)	0	0	Purple	Purple	Purple
40	Wild Axe Lv. 1	100	(No Element)	0	SA - Exhaust	15	0	Yellow	Yellow	Yellow
41	Wild Axe Lv. 2	110	(No Element)	0	SA - Exhaust	17	0	Yellow	Yellow	Green
42	Wild Axe Lv. 3	140	(No Element)	0	SA - Exhaust	20	0	Green	Green	Green
43	Wild Axe Lv. 4	160	(No Element)	0	SA - Exhaust	23	0	Green	Green	Blue
44	Wild Axe Lv. 5	190	(No Element)	0	SA - Exhaust	25	0	Green	Green	Blue
45	Ground Dasher Lv. 6	230	(No Element)	0	SA - Exhaust	28	0	Green	Blue	Blue
46	Ground Dasher Lv. 7	260	(No Element)	0	SA - Exhaust	30	0	Green	Blue	Blue
47	Giganto-Dasher Lv. 8	360	(No Element)	0	SA - Exhaust	32	0	Green	Blue	Blue
48	Arzuros Axe Lv. 1	90	(No Element)	0	SA - Poison	24	0	Yellow	Yellow	Yellow
49	Arzuros Axe Lv. 2	120	(No Element)	0	SA - Poison	28	0	Green	Green	Green
50	Arzuros Axe Lv. 3	140	(No Element)	0	SA - Poison	32	0	Green	Green	Green
