ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Sword Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Sword Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Sword Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Sword Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Sword Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Sword Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Sword Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Sword Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Sword Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Sword Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Sword Lv. 11	320	(No Element)	0	0	White	White	White
11	Hunter's Knife Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Hunter's Knife Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Hunter's Knife Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Hunter's Knife Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Hunter's Knife Lv. 5	120	(No Element)	0	0	Green	Green	Blue
16	Hunter's Knife Lv. 6	150	(No Element)	0	0	Green	Blue	Blue
17	Hunter's Knife Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Fighter Sword Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Fighter Sword Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Fighter Sword Lv. 10	330	(No Element)	0	0	Blue	White	White
21	Champion's Sword Lv. 11	360	(No Element)	0	0	Blue	White	White
22	Bone Kris Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Kris Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Kris Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Kris Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Green
26	Bone Kris Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Bone Kris Lv. 6	170	(No Element)	0	0	Green	Green	Green
28	Bone Kris Lv. 7	210	(No Element)	0	0	Green	Green	Green
29	Chief Kris Lv. 8	240	(No Element)	0	0	Green	Green	Blue
30	Chief Kris Lv. 9	270	(No Element)	0	0	Blue	Blue	White
31	Chief Kris Lv. 10	330	(No Element)	0	0	Blue	Blue	White
32	King Kris Lv. 11	360	(No Element)	0	0	Blue	White	Purple
33	Bone Tabar Lv. 1	110	(No Element)	0	-5	Yellow	Yellow	Yellow
34	Bone Tabar Lv. 2	120	(No Element)	0	-5	Yellow	Yellow	Yellow
35	Bone Tabar Lv. 3	150	(No Element)	0	-5	Green	Green	Green
36	Bone Tabar Lv. 4	170	(No Element)	0	-10	Green	Green	Blue
37	Ragdos Tabar Lv. 5	240	(No Element)	0	-10	Blue	White	White
38	Ragdos Tabar Lv. 6	300	(No Element)	0	-10	White	Purple	Purple
39	Bonebreaker Tabar Lv. 7	360	(No Element)	0	-10	White	Purple	Purple
40	Secta Nulo Lv. 1	80	(No Element)	0	0	Green	Green	Green
41	Secta Nulo Lv. 2	90	(No Element)	0	0	Green	Green	Green
42	Secta Nulo Lv. 3	120	(No Element)	0	0	Green	Green	Green
43	Secta Nulo Lv. 4	130	(No Element)	0	0	Blue	Blue	Blue
44	Secta Nulo Lv. 5	160	(No Element)	0	0	White	White	White
45	Secta Unu Lv. 6	190	(No Element)	0	0	White	White	White
46	Secta Unu Lv. 7	220	(No Element)	0	0	White	White	White
47	Secta Unu Lv. 8	280	(No Element)	0	0	Purple	Purple	Purple
48	Secta Du Lv. 9	310	(No Element)	0	0	Purple	Purple	Purple
49	Soldier's Dagger Lv. 1	90	(No Element)	0	0	Yellow	Yellow	Green
50	Soldier's Dagger Lv. 2	100	(No Element)	0	0	Green	Green	Green
51	Soldier's Dagger Lv. 3	130	(No Element)	0	0	Green	Green	Blue
52	Soldier's Dagger Lv. 4	150	(No Element)	0	0	Green	Blue	Blue
53	Soldier's Dagger Lv. 5	190	(No Element)	0	0	Green	Blue	Blue
54	Commander's Dagger Lv. 6	220	(No Element)	0	0	Blue	Blue	White
55	Commander's Dagger Lv. 7	250	(No Element)	0	0	Blue	White	White
56	Elite Dagger Lv. 8	340	(No Element)	0	0	Blue	White	White
57	Serpent Bite Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Green
58	Serpent Bite Lv. 2	90	(No Element)	0	0	Green	Green	Green
59	Serpent Bite Lv. 3	100	(No Element)	0	0	Green	Green	Green
60	Serpent Bite Lv. 4	150	(No Element)	0	0	Green	Green	Green
61	Serpent Bite Lv. 5	170	(No Element)	0	0	Green	Green	Blue
62	Serpent Cleaver Lv. 6	230	(No Element)	0	0	Green	Blue	Blue
63	Serpent Cleaver Lv. 7	260	(No Element)	0	0	Green	Blue	Blue
64	Serpent Cleaver Lv. 8	320	(No Element)	0	0	Green	Blue	Blue
65	Serpent Soul Lv. 9	350	(No Element)	0	0	Green	Blue	White
66	Snake Bite Lv. 1	80	Ice	14	0	Yellow	Green	Green
67	Snake Bite Lv. 2	100	Ice	16	0	Green	Green	Green
68	Snake Bite Lv. 3	130	Ice	18	0	Green	Green	Green
69	Snake Bite Lv. 4	150	Ice	20	0	Green	Green	Blue
70	Snake Bite Lv. 5	170	Ice	22	0	Green	Blue	Blue
